rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
270,"A,taourirt",Al Hoceïma,1,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,46.07065609228551,
271,"A,Y,Ouali",Al Hoceïma,1,Rouadi,0.533,Oualili,0.625,Meknès,46.142754145638065,
272,"A, Mediona A ,Medoina",Taounate,1,Ain Mediouna,0.545,Ain Mediouna,0.545,Taounate,46.21485219899063,
273,A s s charkia,Tinghir,1,Ait Sedrate Sahl Charkia,0.703,Ait Sedrate Sahl Charkia,0.703,Tinghir,46.28695025234319,
274,A s jbel,Tinghir,1,Ait Sedrate Jbel El Oulia,0.485,Bni Sidel Jbel,0.636,Nador,46.359048305695744,
275,A S jbel olia,Tinghir,1,Ait Sedrate Jbel El Oulia,0.684,Ait Sedrate Jbel El Oulia,0.684,Tinghir,46.431146359048306,
276,A S jbel,Tinghir,1,Ait Sedrate Jbel El Oulia,0.485,Bni Sidel Jbel,0.636,Nador,46.50324441240087,
277,sidi A Tadeli,Sefrou,1,Ahl Sidi Lahcen,0.5,Sidi Al Kamel,0.769,Sidi Slimane,46.57534246575342,
278,sghanghan,Nador,1,Zeghanghane,0.8,Zeghanghane,0.8,Nador,46.647440519105984,
279,sebte tafraoutene,Taroudant,1,Tafraouten,0.741,Tafraouten,0.741,Taroudant,46.719538572458546,
280,sais,Fès,1,Ain Kansra,0.429,Assais,0.8,Taroudant,46.7916366258111,
281,sahel,Tiznit,1,Arbaa Sahel,0.625,Salé,0.667,Salé,46.86373467916366,
282,saghro,Tinghir,1,Tinghir,0.462,Maghraoua,0.667,Taza,46.935832732516225,
283,Douar ouled salem ain gdah,Taounate,1,Oued Jemaa,0.5,Dar Oulad Zidouh,0.571,Fquih Ben Salah,47.00793078586878,
