rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
143,"Q,militaire",Taza,Fès-Meknès,7,Msila,0.5,Mzilate,0.556,Chichaoua,67.14285714285714,
144,Sebbab,Taza,Fès-Meknès,7,Smià,0.4,Assebbab,0.857,Guercif,67.25155279503106,
145,imzilne,Tinghir,Drâa-Tafilalet,7,Imider,0.615,Idmine,0.769,Agadir-Ida Ou Tanane,67.36024844720497,
146,hanchan,Essaouira,Marrakech-Safi,7,El Hanchane,0.778,El Hanchane,0.778,Essaouira,67.46894409937889,
147,Bab Wandar,Taounate,Fès-Meknès,7,Jbabra,0.5,Bab Taza,0.667,Chefchaouen,67.5776397515528,
148,Tikiouine,Agadir-Ida Ou Tanane,Souss-Massa,7,Imsouane,0.588,Tizounine,0.778,Tata,67.6863354037267,
149,Hsseya,Tinghir,Drâa-Tafilalet,7,Toudgha Essoufla,0.364,H'Ssyia,0.769,Zagora,67.79503105590062,
150,Dar kebdani,Nador,Oriental,7,Arekmane,0.526,Dar El Kebdani,0.88,Driouch,67.90372670807453,
151,Menara,Al Haouz,Marrakech-Safi,7,Amghras,0.462,Mnasra,0.833,Kénitra,68.01242236024845,
152,Ighilnoumgoune,Tinghir,Drâa-Tafilalet,7,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,68.12111801242236,
153,S Y B Z,Taounate,Fès-Meknès,7,Sidi Yahya Bni Zeroual,0.483,Sidi Yahya Bni Zeroual,0.483,Taounate,68.22981366459628,
154,Somaa,Béni Mellal,Béni Mellal-Khénifra,7,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,68.33850931677019,
155,A S Jbel sofla,Tinghir,Drâa-Tafilalet,6,Ait Sedrate Jbel El Soufla,0.7,Ait Sedrate Jbel El Soufla,0.7,Tinghir,68.43167701863354,
156,amajaw,Driouch,Oriental,6,Amejjaou,0.571,Majjat,0.667,Chichaoua,68.5248447204969,
157,"A,chefk",Al Haouz,Marrakech-Safi,6,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,68.61801242236025,
158,"s,redouane",Ouezzane,Tanger-Tétouan-Al Hoceïma,6,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,68.7111801242236,
159,"Bouzemlane,c",Taza,Fès-Meknès,6,Bouyablane,0.636,Boulemane,0.762,Boulemane,68.80434782608695,
160,Tizentest,Taroudant,Souss-Massa,6,Tizi N'Test,0.8,Tizi N'Test,0.8,Taroudant,68.8975155279503,
161,Ghar Nhal,Béni Mellal,Béni Mellal-Khénifra,6,Had Bradia,0.421,Hjar Ennhal,0.8,Tanger-Assilah,68.99068322981367,
162,Ait Idir,Ouarzazate,Drâa-Tafilalet,6,Ait Oumdis,0.667,Ait Said,0.75,Essaouira,69.08385093167702,
163,Ghorm El Alem,Béni Mellal,Béni Mellal-Khénifra,6,Foum El Anceur,0.593,Laghoualem,0.609,Benslimane,69.17701863354037,
164,B.bouayach,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,69.27018633540372,
165,B.Mellal,Béni Mellal,Béni Mellal-Khénifra,6,Beni Mellal,0.737,Beni Mellal,0.737,Béni Mellal,69.36335403726709,
166,"S,Redoune",Ouezzane,Tanger-Tétouan-Al Hoceïma,6,Sidi Redouane,0.727,Sidi Redouane,0.727,Ouezzane,69.45652173913044,
167,Ajdir,Taza,Fès-Meknès,6,Bab Boudir,0.533,Ajdir 2,0.833,Al Hoceïma,69.54968944099379,
168,Al wahda,Taza,Fès-Meknès,6,Outat El Haj,0.4,Lahdar,0.714,Youssoufia,69.64285714285714,
169,Ras Alma,Moulay Yacoub,Fès-Meknès,6,Moulay Abdelkrim,0.417,Ras El Ma,0.824,Berkane,69.7360248447205,
